top - 18:06:41 up 33 days, 23:44,  6 users,  load average: 0.67, 0.95, 1.12
Tasks: 171 total,   1 running, 169 sleeping,   1 stopped,   0 zombie
Cpu(s):  5.2%us,  0.4%sy,  0.0%ni, 91.7%id,  2.6%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   2058200k total,  1496812k used,   561388k free,   100132k buffers
Swap:  2040244k total,   146600k used,  1893644k free,   488228k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                 
29921 tomcat    17   0  822m 225m  22m S    4 11.2   0:49.56 java                                                                                                    
    1 root      15   0 10328  272  244 S    0  0.0   0:13.95 init                                                                                                    
    2 root      RT  -5     0    0    0 S    0  0.0   0:02.58 migration/0                                                                                             
    3 root      34  19     0    0    0 S    0  0.0   0:00.23 ksoftirqd/0                                                                                             
    4 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/0                                                                                              
    5 root      RT  -5     0    0    0 S    0  0.0   0:01.31 migration/1                                                                                             
    6 root      34  19     0    0    0 S    0  0.0   0:00.11 ksoftirqd/1                                                                                             
    7 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/1                                                                                              
    8 root      RT  -5     0    0    0 S    0  0.0   0:02.12 migration/2                                                                                             
    9 root      34  19     0    0    0 S    0  0.0   0:00.06 ksoftirqd/2                                                                                             
   10 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/2                                                                                              
   11 root      RT  -5     0    0    0 S    0  0.0   0:01.89 migration/3                                                                                             
   12 root      34  19     0    0    0 S    0  0.0   0:00.08 ksoftirqd/3                                                                                             
   13 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/3                                                                                              
   14 root      10  -5     0    0    0 S    0  0.0   0:00.13 events/0                                                                                                
   15 root      10  -5     0    0    0 S    0  0.0   0:00.06 events/1                                                                                                
   16 root      10  -5     0    0    0 S    0  0.0   0:00.04 events/2                                                                                                
   17 root      10  -5     0    0    0 S    0  0.0   0:00.06 events/3                                                                                                
   18 root      10  -5     0    0    0 S    0  0.0   0:02.80 khelper                                                                                                 
   35 root      10  -5     0    0    0 S    0  0.0   0:00.03 kthread                                                                                                 
   42 root      10  -5     0    0    0 S    0  0.0   0:01.89 kblockd/0                                                                                               
   43 root      10  -5     0    0    0 S    0  0.0   0:00.11 kblockd/1                                                                                               
   44 root      10  -5     0    0    0 S    0  0.0   0:00.12 kblockd/2                                                                                               
   45 root      10  -5     0    0    0 S    0  0.0   0:00.14 kblockd/3                                                                                               
   46 root      19  -5     0    0    0 S    0  0.0   0:00.00 cqueue/0                                                                                                
   47 root      20  -5     0    0    0 S    0  0.0   0:00.00 cqueue/1                                                                                                
   48 root      20  -5     0    0    0 S    0  0.0   0:00.00 cqueue/2                                                                                                
   49 root      20  -5     0    0    0 S    0  0.0   0:00.00 cqueue/3                                                                                                
   52 root      10  -5     0    0    0 S    0  0.0   0:00.00 khubd                                                                                                   
   54 root      10  -5     0    0    0 S    0  0.0   0:00.00 kseriod                                                                                                 
  168 root      10  -5     0    0    0 S    0  0.0   2:01.80 kswapd0                                                                                                 
  169 root      12  -5     0    0    0 S    0  0.0   0:00.00 aio/0                                                                                                   
  170 root      12  -5     0    0    0 S    0  0.0   0:00.00 aio/1                                                                                                   
  171 root      12  -5     0    0    0 S    0  0.0   0:00.00 aio/2                                                                                                   
  172 root      12  -5     0    0    0 S    0  0.0   0:00.00 aio/3                                                                                                   
  318 root      12  -5     0    0    0 S    0  0.0   0:00.00 kpsmoused                                                                                               
  379 root      11  -5     0    0    0 S    0  0.0   0:00.00 scsi_eh_0                                                                                               
  380 root      10  -5     0    0    0 S    0  0.0   6:04.91 kjournald                                                                                               
  407 root      12  -5     0    0    0 S    0  0.0   0:00.00 kauditd                                                                                                 
  441 root      21  -4 12584  176  172 S    0  0.0   0:00.08 udevd                                                                                                   
 1069 root      10  -5     0    0    0 S    0  0.0   0:00.00 kedac                                                                                                   
 1215 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata/0                                                                                                   
 1216 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata/1                                                                                                   
 1217 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata/2                                                                                                   
 1218 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata/3                                                                                                   
 1219 root      11  -5     0    0    0 S    0  0.0   0:00.00 ata_aux                                                                                                 
 1250 apache    15   0  300m  11m 2092 S    0  0.6   0:00.53 httpd                                                                                                   
 1402 root      11  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/0                                                                                               
 1403 root      13  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/1                                                                                               
 1404 root      14  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/2                                                                                               
 1405 root      15  -5     0    0    0 S    0  0.0   0:00.00 kmpathd/3                                                                                               
 1499 root      10  -5     0    0    0 S    0  0.0   0:00.00 kjournald                                                                                               
 1990 root      15   0  5888  356  284 S    0  0.0   0:50.87 syslogd                                                                                                 
 1993 root      15   0  3784  268  216 S    0  0.0   0:00.00 klogd                                                                                                   
 2009 root      18   0 10708  288  212 S    0  0.0   0:10.19 irqbalance                                                                                              
 2025 dbus      15   0 21244  244  240 S    0  0.0   0:00.00 dbus-daemon                                                                                             
 2078 root      15   0 21620  464  360 S    0  0.0   0:00.08 xinetd                                                                                                  
 2113 root      15   0 40848  212  208 S    0  0.0   0:00.00 couriertcpd                                                                                             
 2115 root      18   0 33540  236  232 S    0  0.0   0:00.00 courierlogger                                                                                           
 2123 root      25   0 40848  212  208 S    0  0.0   0:00.00 couriertcpd                                                                                             
 2125 root      18   0 33544  184  180 S    0  0.0   0:00.00 courierlogger                                                                                           
 2131 root      15   0 40852  280  228 S    0  0.0   0:00.18 couriertcpd                                                                                             
 2133 root      18   0 33544  308  244 S    0  0.0   0:00.12 courierlogger                                                                                           
 2140 root      25   0 40848  212  208 S    0  0.0   0:00.00 couriertcpd                                                                                             
 2142 root      18   0 33540  184  180 S    0  0.0   0:00.00 courierlogger                                                                                           
 2160 qmails    16   0  3824  276  208 S    0  0.0   0:24.34 qmail-send                                                                                              
 2162 qmaill    16   0  3772  272  216 S    0  0.0   0:06.15 splogger                                                                                                
 2163 root      24   0  3812   80   76 S    0  0.0   0:00.00 qmail-lspawn                                                                                            
 2164 qmailr    15   0  3816  196  120 S    0  0.0   0:03.70 qmail-rspawn                                                                                            
 2165 qmailq    18   0  3768  156  108 S    0  0.0   0:03.44 qmail-clean                                                                                             
 2225 named     25   0  179m 1024  492 S    0  0.0   0:01.69 named                                                                                                   
 2429 postgres  15   0  120m  408  364 S    0  0.0   0:00.23 postmaster                                                                                              
 2431 postgres  15   0  109m  288  204 S    0  0.0   0:00.09 postmaster                                                                                              
 2450 postgres  15   0  120m  348  284 S    0  0.0   0:00.67 postmaster                                                                                              
 2451 postgres  18   0  110m  136  112 S    0  0.0   0:00.04 postmaster                                                                                              
 2452 postgres  18   0  109m  172  156 S    0  0.0   0:00.00 postmaster                                                                                              
 2474 root      15   0  160m  500  420 S    0  0.0   0:00.10 httpsd                                                                                                  
 2516 root      15   0 74768  692  320 S    0  0.0   0:00.86 crond                                                                                                   
 2543 xfs       18   0 20420  284  244 S    0  0.0   0:00.00 xfs                                                                                                     
 2559 avahi     15   0 23108  520  424 S    0  0.0   0:01.48 avahi-daemon                                                                                            
 2560 avahi     24   0 23108  104  100 S    0  0.0   0:00.00 avahi-daemon                                                                                            
 2579 haldaemo  16   0 30648  316  312 S    0  0.0   0:00.27 hald                                                                                                    
 2580 root      17   0 21644  212  208 S    0  0.0   0:00.00 hald-runner                                                                                             
 2585 haldaemo  15   0 12284  244  240 S    0  0.0   0:00.00 hald-addon-keyb                                                                                         
 2595 root      18   0 10188  192  172 S    0  0.0   0:40.26 hald-addon-stor                                                                                         
 2610 root      16   0  3768  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2611 root      17   0  3768  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2612 root      17   0  3772  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2613 root      18   0  3768  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2615 root      18   0  3772  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2617 root      18   0  3772  180  176 S    0  0.0   0:00.00 mingetty                                                                                                
 2620 tomcat    15   0 82116  48m  364 S    0  2.4   3:24.86 memcached                                                                                               
 2769 root      15   0 77124 1756  772 S    0  0.1   0:01.19 miniserv.pl                                                                                             
 4009 psaadm    15   0  216m 8032 4764 S    0  0.4   0:08.05 httpsd                                                                                                  
 5547 apache    15   0  300m  11m 2092 S    0  0.6   0:00.51 httpd                                                                                                   
